resident,emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
resident1,happiness,0.46482164,0.3795575,0.16730595,0.3569952,0.38864428,0.225,0.24656264,0.42385024,0.725,0.3152133,0.5359736,0.30815995,0.31859747,0.875,0.42882022,0.105322406,0.9350287,0.6682919,0.16230008,0.1443528
resident1,fear,0.51471156,0.25001934,0.3513046,0.3877274,0.09084651,0.03846154,0.14301234,0.025456218,0.5,0.02541402,0.2949657,0.51144785,0.46873304,0.30769232,0.6654344,0.452424,0.4577875,0.455857,0.40151227,0.07006811
resident1,surprise,0.6114394,0.40054134,0.46371728,0.43478492,0.14910682,0.20512821,0.179345,0.05744705,0.4871795,0.070567064,0.1780746,0.30949792,0.36682457,0.71794873,0.33190447,0.122952536,0.9482175,0.7276019,0.16578801,0.13205262
resident1,anger,0.45279697,0.3349895,0.21100101,0.38847658,0.20701303,0.06521739,0.20915796,0.09818376,0.5217391,0.1537558,0.4103163,0.44435522,0.48198032,0.65217394,0.6540722,0.39880082,0.7245461,0.38288754,0.22299625,0.10975425
resident1,disgust,0.375597,0.19125552,0.39590132,0.3819693,0.14409073,0.078125,0.2182299,0.072941974,0.484375,0.06909733,0.2533467,0.4718389,0.42525306,0.375,0.5265575,0.32995942,0.7255099,0.6319426,0.30712548,0.11262943
resident1,sadness,0.60934854,0.4517577,0.3438847,0.37132877,0.09086443,0.015384615,0.19868243,0.028104808,0.12307692,0.027984511,0.34823373,0.46731797,0.58266234,0.015384615,0.67894524,0.5334325,0.21650693,0.2683198,0.40882507,0.18077457
resident2,happiness,0.3538112,0.30316183,0.38941288,0.250384,0.8915385,0.93670887,0.6054647,0.41201565,0.9493671,0.8999094,0.5271703,0.08801557,0.22902803,1.0,0.21046281,0.035711344,0.99894917,0.5266458,0.06312846,0.33605203
resident2,fear,0.31508788,0.21160379,0.48946705,0.29746228,0.3967783,0.23414634,0.5141739,0.116362564,0.33170733,0.35489807,0.56536025,0.30067998,0.50983584,0.6682927,0.5266187,0.5691647,0.8556386,0.36229673,0.27049026,0.20802067
resident2,surprise,0.38234586,0.24417411,0.25480404,0.44412744,0.21557213,0.04950495,0.2566514,0.1877004,0.5049505,0.24308977,0.37072164,0.30001816,0.4899652,0.0,0.58945954,0.5258657,0.49859488,0.16341917,0.17181036,0.08877073
resident2,anger,0.40816048,0.33128637,0.5614512,0.32451594,0.47816467,0.33802816,0.6243309,0.122616835,0.30985916,0.4371327,0.69413507,0.4435578,0.5936999,0.14084508,0.6558476,0.8301779,0.18798335,0.06756549,0.29048935,0.09596673
resident2,disgust,0.31486148,0.24676174,0.3294198,0.2552042,0.5922952,0.73913044,0.5748535,0.3712722,0.5217391,0.46650562,0.32860515,0.16383469,0.19845639,1.0,0.28135788,0.0178719,0.99954736,0.7492744,0.113072336,0.6863314
resident2,sadness,0.4414397,0.3042317,0.61350137,0.29221314,0.44981518,0.05263158,0.5985573,0.13712323,0.2631579,0.35886613,0.68843836,0.41136542,0.58825547,0.31578946,0.6089827,0.73041457,0.09706939,0.1082252,0.4585776,0.3213778
resident3,happiness,0.49071026,0.32274798,0.48111242,0.31468463,0.69535255,0.8053097,0.5193625,0.6635121,0.7876106,0.6733265,0.5212781,0.33373642,0.26350343,1.0,0.3034129,0.03000221,0.99886817,0.6979054,0.056098137,0.8326501
resident3,fear,0.45796776,0.19276388,0.3428091,0.30668873,0.8096288,0.54347825,0.5813799,0.44142133,0.6666667,0.69733924,0.61562485,0.3069197,0.2610283,0.9927536,0.232329,0.032555636,0.972668,0.6380531,0.030710967,0.8580445
resident3,surprise,0.3683805,0.36101595,0.44270173,0.34533578,0.55365795,0.7,0.430717,0.46284702,0.43333334,0.50052506,0.5020936,0.46146685,0.4091465,0.575,0.28028998,0.31960818,0.9380628,0.40254593,0.15009087,0.7795617
resident3,anger,0.4135259,0.35223857,0.403056,0.33525112,0.54961205,0.5971223,0.41845676,0.35773858,0.6223022,0.4753791,0.44560722,0.39352572,0.40651515,0.6294964,0.3287933,0.25103647,0.8923722,0.5234634,0.09729576,0.8071255
resident3,disgust,0.43183547,0.37462884,0.3533069,0.37868142,0.5600928,0.75739646,0.4309732,0.49372715,0.5857988,0.54431915,0.4610473,0.38370374,0.42504945,0.62721896,0.40962237,0.2871282,0.9183911,0.5513128,0.092359304,0.7105611
resident3,sadness,0.3926951,0.23128307,0.5549948,0.26726058,0.41123748,0.42857143,0.560722,0.34604228,0.5714286,0.34582946,0.43291646,0.5401534,0.46433216,0.73015875,0.515428,0.09397902,0.9830193,0.58033043,0.19397411,0.8634318
